Column,Q1,Q3,IQR,Lower Bound,Upper Bound,Outlier Count,Outlier %
StudentID,2505.0,7515.0,5010.0,-5010.0,15030.0,29,0.3194888178913738
CGPA,7.4,8.2,0.7999999999999989,6.200000000000002,9.399999999999999,29,0.3194888178913738
Internships,1.0,1.0,0.0,1.0,1.0,4059,44.717417649002975
Projects,1.0,3.0,2.0,-2.0,6.0,14,0.15423598105100803
Workshops/Certifications,0.0,2.0,2.0,-3.0,5.0,14,0.15423598105100803
AptitudeTestScore,73.0,87.0,14.0,52.0,108.0,29,0.3194888178913738
SoftSkillsRating,4.0,4.7,0.7000000000000002,2.9499999999999997,5.75,29,0.3194888178913738
SSC_Marks,59.0,78.0,19.0,30.5,106.5,29,0.3194888178913738
HSC_Marks,67.0,83.0,16.0,43.0,107.0,29,0.3194888178913738
